img_index,person,bicycle,car,motorcycle,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,microwave,oven,toaster,sink,refrigerator
137,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
138,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
139,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
140,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1
141,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1
142,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
143,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1
144,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0
145,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1
146,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
147,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
148,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
149,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
150,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1
151,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
152,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
153,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0
154,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1
155,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1
156,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
157,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0
158,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0
159,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1
160,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
161,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1
162,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
163,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0
164,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0
165,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
166,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1
167,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1
168,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0
169,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1
170,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
